證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年
1240,茂生農經,13.19,4.35,1.78,0.7326
1258,其祥-KY,0,0,0.73,0.7106
1259,安心,16.06,4.68,1.22,0.4928
1264,德麥,15.12,5.19,3.03,0.3886
1268,漢來美食,16.67,5.83,2.88,0.5321
1336,台翰,17.24,8,0.76,0.7039
1565,精華,15.59,5.05,2.99,0.8248
1569,濱川,25.25,1.18,1.1,1.6497
1570,力肯,9.15,6.15,0.87,0.5341
1580,新麥,8.98,5.56,2.08,0.8894
1584,精剛,0,0,0.76,0.8092
1586,和勤,152.12,1.37,2.22,0.3568
1591,駿吉-KY,83.75,2.49,1.69,0.4341
1593,祺驊,12.74,6.72,1.75,0.6687
1595,川寶,15.77,4.05,0.6,0.911
1597,直得,43.13,1.08,3.65,1.6447
1599,宏佳騰,15.4,3.28,1.34,0.7089
1742,台蠟,26.31,0,1.86,0.9172
1752,南光,20.92,3.74,2.1,0.5916
1777,生泰,15.19,4.17,2.09,0.5721
1781,合世,0,0,2.66,0.3102
1784,訊聯,293.21,0.3,1.83,1.2058
1785,光洋科,8.21,2.07,1.23,0.9879
1788,杏昌,15.56,5.58,2.17,0.2833
1796,金穎生技,0,0,1.71,0.544
1799,易威,0,0,2.33,0.6796
1813,寶利徠,21.62,4.41,1.18,0.7672
1815,富喬,0,5.77,0.64,1.0817
2035,唐榮,0,0,3.15,0.2323
2061,風青,0,0,0.8,0.3131
2063,世鎧,9.66,7.7,1.9,0.502
2064,晉椿,0,5.22,0.64,0.5006
2065,世豐,11.78,9.35,1.9,0.6622
2066,世德,12.42,5.36,1.8,0.8092
2067,嘉鋼,0,0,0.88,0.7173
2070,精湛,45.45,3.93,1.04,0.7402
2221,大甲,10.06,6.06,1.34,0.8873
2230,泰茂,338.33,0,0.86,0.6446
2235,謚源,14.34,6.77,1.22,0.7135
2596,綠意,46.83,5.21,0.99,0.7651
2640,大車隊,15.38,5.38,2.87,0.9265
2641,正德,11.11,3.4,0.56,0.6174
2643,捷迅,9.27,4.69,1.61,0.6455
2718,晶悅,840,0,0.76,0.6108
2719,燦星旅,0,0,1.67,0.3507
2724,富驛-KY,0,0,17,0.2991
2726,雅茗-KY,15.63,5.05,2.85,0.9316
2729,瓦城,14.7,4.39,2.51,0.8928
2732,六角,15.82,5.54,3.85,1.4116
2734,易飛網,0,0,1.05,0.2281
2736,高野,0,0,0.52,0.8509
2740,天蔥,0,0,2.38,0.1406
2743,山富,6.84,5.73,0.74,0.3245
2745,五福,16.97,1.99,0.8,0.8603
2752,豆府,15.02,5.5,2.74,0.698
2916,滿心,11.82,6.65,0.99,0.3875
2924,東凌-KY,0,0,1.83,0.1673
2926,誠品生活,17.17,4.97,3.16,0.7015
2928,紅馬-KY,10.36,2.55,2.93,1.2981
2937,集雅社,11.33,6.16,1.4,0.3672
3064,泰偉,0,0,7.81,0.638
3066,李洲,30,0,1.07,0.0917
3067,全域,0,0,4.14,0.5925
3071,協禧,9.75,6.8,1.39,1.1325
