user_id,基本面,技術面,籌碼面,消息面,得分,prefer
0,22,7,8,7,38,['消息面']
1,3,5,5,4,11,"['籌碼面', '消息面']"
2,10,6,6,4,20,"['籌碼面', '消息面']"
3,3,7,1,4,9,['消息面']
4,3,5,1,4,7,['消息面']
5,3,5,1,3,6,['消息面']
6,16,5,7,5,27,['消息面']
7,13,5,3,5,20,"['籌碼面', '消息面']"
8,12,5,5,4,20,"['籌碼面', '消息面']"
9,16,5,4,5,24,"['籌碼面', '消息面']"
10,3,5,0,3,5,['消息面']
11,4,6,0,3,7,['消息面']
12,2,2,0,2,0,"['籌碼面', '消息面']"
13,12,5,3,4,18,['消息面']
14,2,5,0,3,4,['消息面']
15,5,5,1,5,10,"['籌碼面', '消息面']"
16,4,5,8,5,16,['消息面']
17,19,5,6,8,32,['消息面']
18,14,6,3,6,23,"['籌碼面', '消息面']"
19,3,5,4,4,10,['消息面']
20,4,5,1,5,9,"['籌碼面', '消息面']"
21,9,5,3,4,15,['消息面']
22,5,5,4,5,13,"['籌碼面', '消息面']"
23,4,5,1,4,8,['消息面']
24,17,6,6,8,31,['消息面']
25,4,5,1,4,8,['消息面']
26,8,5,4,5,16,"['籌碼面', '消息面']"
27,8,5,2,4,13,['消息面']
28,2,2,1,2,1,"['籌碼面', '消息面']"
29,16,5,1,4,20,['消息面']
30,11,5,0,3,13,['消息面']
31,3,5,1,4,7,['消息面']
32,3,5,1,5,8,"['籌碼面', '消息面']"
33,9,6,5,5,19,['消息面']
34,5,5,2,4,10,['消息面']
35,15,3,3,4,19,['消息面']
36,16,5,3,5,23,"['籌碼面', '消息面']"
37,8,7,6,4,19,['消息面']
38,11,5,5,5,20,"['技術面', '籌碼面', '消息面']"
39,2,2,0,2,0,"['籌碼面', '消息面']"
40,3,5,1,4,7,['消息面']
41,10,2,1,5,12,['消息面']
42,14,2,6,2,18,['消息面']
43,12,6,7,4,23,['消息面']
44,8,5,7,5,19,['消息面']
45,10,5,1,3,14,['消息面']
46,3,2,0,3,2,['消息面']
47,6,5,1,4,10,['消息面']
48,3,5,0,3,5,['消息面']
49,4,5,2,4,9,['消息面']
50,14,5,1,4,18,['消息面']
51,4,5,1,4,8,['消息面']
52,3,5,1,4,7,['消息面']
53,5,5,2,5,11,"['籌碼面', '消息面']"
54,16,5,6,3,24,['消息面']
55,14,5,6,4,23,['消息面']
56,14,2,1,3,14,['消息面']
57,3,5,1,4,7,['消息面']
58,18,3,1,6,22,['消息面']
59,6,5,2,4,11,['消息面']
60,3,5,0,3,5,['消息面']
61,2,2,0,2,0,"['籌碼面', '消息面']"
62,21,5,5,5,30,"['技術面', '籌碼面', '消息面']"
63,20,7,8,8,37,"['籌碼面', '消息面']"
64,16,6,6,3,25,"['籌碼面', '消息面']"
65,7,3,4,2,10,['消息面']
66,2,2,0,2,0,"['籌碼面', '消息面']"
67,2,4,1,4,5,"['籌碼面', '消息面']"
68,16,3,4,8,25,['消息面']
69,16,5,6,5,26,['消息面']
70,3,5,1,4,7,['消息面']
71,7,5,4,4,14,['消息面']
72,4,5,1,4,8,['消息面']
73,19,6,8,8,35,"['籌碼面', '消息面']"
74,17,5,5,5,26,"['技術面', '籌碼面', '消息面']"
75,18,6,8,7,33,['消息面']
76,2,4,0,3,3,['消息面']
77,14,7,6,5,26,['消息面']
78,18,5,4,7,28,['消息面']
79,2,3,0,3,2,"['籌碼面', '消息面']"
80,10,6,6,5,21,"['籌碼面', '消息面']"
81,9,5,2,5,15,"['籌碼面', '消息面']"
82,2,5,1,4,6,['消息面']
83,4,5,3,4,10,['消息面']
84,7,6,3,5,15,['消息面']
85,2,5,1,4,6,['消息面']
86,10,5,1,5,15,"['籌碼面', '消息面']"
87,4,5,2,5,10,"['籌碼面', '消息面']"
88,3,4,6,3,10,['消息面']
89,9,5,4,4,16,['消息面']
90,3,4,0,3,4,['消息面']
91,5,2,1,2,4,"['籌碼面', '消息面']"
92,15,5,6,6,26,"['籌碼面', '消息面']"
93,4,5,3,3,9,['消息面']
94,12,7,8,6,27,['消息面']
95,8,5,1,3,11,['消息面']
96,3,4,0,3,4,['消息面']
97,8,5,3,6,16,['消息面']
98,8,2,2,4,10,['消息面']
99,18,7,6,8,33,['消息面']
100,3,5,2,4,8,['消息面']
101,18,7,8,8,35,"['籌碼面', '消息面']"
102,3,4,3,4,8,"['籌碼面', '消息面']"
103,4,5,3,4,10,['消息面']
104,6,5,1,3,10,['消息面']
105,3,5,1,4,7,['消息面']
106,1,1,0,1,2,"['籌碼面', '消息面']"
107,3,5,1,4,7,['消息面']
108,9,5,4,6,18,['消息面']
109,2,5,6,3,10,['消息面']
110,3,5,3,4,9,['消息面']
111,11,6,4,7,22,['消息面']
112,7,6,4,5,16,['消息面']
113,11,5,6,4,20,['消息面']
114,3,5,4,4,10,['消息面']
